dataset,hidden_units,variational_error,validation_error
polynomial_spline,1000,0.3242569861,1.467101156
polynomial_spline,1000,0.1774723102,1.416019237
polynomial_spline,5000,2.66907135,0.9919454937
polynomial_spline,5000,4.180644725,1.32081968
polynomial_spline,5000,1.790923102,0.9293175019
polynomial_spline,10000,0.08994171043,1.350949557
polynomial_spline,10000,0.08004137893,1.352014879
polynomial_spline,10000,0.0911873283,1.35264176
sine,10,0.9612804637,0.3868066203
sine,10,0.1899025944,0.112690815
sine,10,0.1907173648,0.1162979285
sine,100,0.08382695861,0.1056795189
sine,100,0.07875502057,0.10802934
sine,100,0.07884445734,0.1095237807
sine,500,0.06844822274,0.1078622542
sine,500,0.05963822391,0.107671297
sine,500,0.1104640873,0.1157679912
sine,1000,0.03084744009,0.1080758861
sine,1000,0.03338659492,0.1077064193
sine,1000,0.04306528654,0.1064332748
sine,5000,0.3306247865,0.1453928802
sine,5000,0.2895393769,0.1520050731
sine,5000,0.2843106739,0.1790207775
sine,10000,0.02545527837,0.110125776
sine,10000,0.02143118999,0.1105033534
sine,10000,0.03966814227,0.1087921211
square,10,0.4392883044,0.2755790048
square,10,0.4901014389,0.2956457414
square,10,0.7893944083,0.4701779735
square,100,0.1327007792,0.2586886267
square,100,0.1327856941,0.2657864348
square,100,0.1327296956,0.2541588797
square,500,0.13249863,0.2480700083
square,500,0.1328865371,0.2482946683
square,500,0.1343439004,0.247953773
square,1000,0.1324653706,0.2479770322
square,1000,0.1306054673,0.2487698779
square,1000,0.1284378252,0.2475236598
square,5000,0.2339084311,0.2533883728
square,5000,0.2791850882,0.2979064734
square,5000,0.1655168585,0.245353601
square,10000,0.1069927604,0.2559643013
square,10000,0.1065026612,0.2557819945
square,10000,0.09885684564,0.2573285957
