dataset,hidden_units,variational_error,validation_error
polynomial_spline,500,0.3676385811,1.256403285
polynomial_spline,500,0.3565409828,1.239402206
polynomial_spline,500,0.1771665759,1.404155777
polynomial_spline,1000,0.4965318644,1.508947
polynomial_spline,1000,0.297853486,1.444982416
polynomial_spline,1000,0.09326894762,1.376851485
polynomial_spline,5000,2.882228512,1.025971493
polynomial_spline,5000,3.410198347,1.213545617
polynomial_spline,5000,1.536208646,1.117289155
polynomial_spline,10000,0.09401430664,1.372931881
polynomial_spline,10000,0.0860382515,1.365045012
polynomial_spline,10000,0.09975590286,1.366098017
sine,10,0.7445874498,0.4507556358
sine,10,0.7445914047,0.4507556359
sine,10,0.1907964602,0.1148084545
sine,100,0.08217547885,0.1067524729
sine,100,0.0809549386,0.1044588971
sine,100,0.09582089883,0.1074251579
sine,500,0.0899941578,0.1109904837
sine,500,0.05307108846,0.1059694287
sine,500,0.06697506394,0.1058053212
sine,1000,0.03175943813,0.1079561936
sine,1000,0.02968652042,0.108992328
sine,1000,0.04552831438,0.1067301897
sine,5000,0.6244072668,0.2335251026
sine,5000,0.7274497398,0.2061858031
sine,5000,0.2072338095,0.1132279501
sine,10000,0.02538321636,0.1105464437
sine,10000,0.02806468031,0.1104489475
sine,10000,0.03152871814,0.1097525164
square,10,0.7893944083,0.4387144295
square,10,0.4901015283,0.295645712
square,10,0.4391120833,0.2754936402
square,100,0.1327642067,0.2484017095
square,100,0.1328044398,0.2665275595
square,100,0.1327277584,0.2507549111
square,500,0.136491873,0.2477796143
square,500,0.1355533979,0.2479515799
square,500,0.1336491785,0.247910268
square,1000,0.1265747926,0.2479237254
square,1000,0.134186574,0.2477342888
square,1000,0.1332644901,0.2479444203
square,5000,0.3834581988,0.3180489818
square,5000,0.5171764263,0.2806973563
square,5000,0.734327995,0.3132146005
square,10000,0.1061503382,0.2573382938
square,10000,0.1041866334,0.2554642005
square,10000,0.1108705492,0.2548817425
